client_id,rfm_segment,monetary_capped,cate,target,p_control,p_treatment,uplift_segment
7bb5feb5ea,555,160927.83,0.5060687,1,0.37444863,0.88051736,Very High
796f8f6a26,153,56722.79,0.5033205,1,0.22925319,0.7325737,Very High
56473e1e15,454,105345.84,0.45143032,0,0.38391483,0.83534515,Very High
2343b61a58,455,119321.06,0.442577,1,0.4666775,0.9092545,Very High
7ba1a78f9a,154,65625.0,0.43781656,0,0.23717533,0.6749919,Very High
ff3f4cae3b,153,38267.0,0.43253776,1,0.3572949,0.78983265,Very High
196c98931c,544,68537.62,0.43082294,1,0.41531602,0.84613895,Very High
fb32ecec8e,211,163.0,0.42306933,0,0.14457038,0.5676397,Very High
8a1187bf37,255,176865.56,0.4170431,0,0.33242935,0.74947244,Very High
7e6e4089d5,154,97249.25,0.41565484,0,0.35459006,0.7702449,Very High
c5822e0bab,541,9193.45,0.41008306,1,0.43956953,0.8496526,Very High
8a97561c7e,155,200689.43,0.40821552,1,0.13335015,0.54156566,Very High
436b9d37ef,211,178.18,0.40204448,1,0.13890523,0.5409497,Very High
f0ecaaaf57,211,144.0,0.4017691,1,0.1462375,0.5480066,Very High
329ee1c0b0,244,112525.58,0.40164793,0,0.33198124,0.73362917,Very High
6d6ee4162b,551,6612.0,0.39957798,0,0.52965736,0.92923534,Very High
01a5191270,154,79944.66,0.39935023,1,0.2387432,0.6380934,Very High
e992721acd,355,173451.85,0.3876297,0,0.3600434,0.7476731,Very High
bcaa7a87c2,411,282.0,0.38437074,0,0.3686049,0.75297564,Very High
c31b68e6d4,445,206448.35,0.3824123,1,0.39104038,0.7734527,Very High
db4589450b,411,803.0,0.37852636,0,0.22441056,0.6029369,Very High
d7810c783e,544,91375.55,0.3778267,0,0.4417848,0.8196115,Very High
1ee9422f3d,155,143449.1,0.37768355,0,0.16895774,0.5466413,Very High
06d9c54cb9,552,17759.0,0.37763643,0,0.5410972,0.91873366,Very High
f3dd8d6e9b,514,74226.0,0.37751654,1,0.23544303,0.61295956,Very High
41b307ef23,412,32103.23,0.37678286,1,0.33429214,0.711075,Very High
cdd2f8cbba,154,75533.71,0.37478787,0,0.20676452,0.5815524,Very High
7a4fdea6a6,211,173.0,0.37336376,1,0.10594676,0.4793105,Very High
95d14f4e7b,134,76622.19,0.37319404,1,0.16696398,0.54015803,Very High
2f00029c04,211,291.95,0.37187582,1,0.14515252,0.51702833,Very High
3890f5ddbb,151,6861.360000000001,0.3699133,1,0.28473058,0.6546439,Very High
6b27ba507a,413,39141.0,0.36873892,1,0.388837,0.7575759,Very High
75eb3fc958,154,108568.34,0.3684173,1,0.40997246,0.77838975,Very High
cf409dfa27,211,222.18,0.365883,0,0.13292116,0.49880415,Very High
46e4a13d66,211,296.0,0.36543494,0,0.15266196,0.5180969,Very High
51b28fd023,154,101725.96,0.36338595,0,0.15854838,0.52193433,Very High
4b2641f755,153,36194.14,0.36222637,0,0.42212874,0.7843551,Very High
ca5566b1a3,455,753208.75,0.36127824,0,0.6041986,0.9654768,Very High
8c018c97da,211,236.0,0.3595646,1,0.20822729,0.5677919,Very High
6984c94991,211,517.88,0.35743898,1,0.18448602,0.541925,Very High
6404d82ba5,311,289.0,0.3550473,0,0.16551262,0.5205599,Very High
5523cb0da1,414,75004.0,0.35503227,0,0.18437809,0.53941035,Very High
672ff23625,211,601.0,0.35406113,0,0.24723345,0.6012946,Very High
37dbc81fb3,211,128.0,0.3540125,0,0.1213344,0.4753469,Very High
3e3b9fa96e,531,14681.0,0.35261258,0,0.32923648,0.68184906,Very High
